county,state,population,# total covid cases,# covid cases per 100k,# covid deaths,# covid deaths per 100k,case_fatality_rate
Crawford County,Wisconsin,16131,473,2932.2,1,6.2,0.002
Bethel Census Area,Alaska,18386,611,3323.2,1,5.44,0.002
Brown County,South Dakota,38839,2444,6292.6,6,15.45,0.002
Charles Mix County,South Dakota,9292,511,5499.4,1,10.76,0.002
Butler County,Kansas,66911,1826,2729.0,3,4.48,0.002
Randolph County,West Virginia,28694,460,1603.1,1,3.48,0.002
Kandiyohi County,Minnesota,43199,2131,4933.0,5,11.57,0.002
Gallatin County,Montana,114433,4145,3622.2,10,8.74,0.002
Roseau County,Minnesota,15165,501,3303.7,1,6.59,0.002
Madison County,Idaho,39907,2956,7407.2,7,17.54,0.002
Matanuska-Susitna Borough,Alaska,108317,1796,1658.1,3,2.77,0.002
Montgomery County,Virginia,98535,3114,3160.3,6,6.09,0.002
Cortland County,New York,47583,622,1307.2,1,2.1,0.002
Logan County,Oklahoma,48011,939,1955.8,2,4.17,0.002
Teton County,Wyoming,23464,922,3929.4,2,8.52,0.002
Chickasaw County,Iowa,11933,446,3737.5,1,8.38,0.002
Otoe County,Nebraska,16012,423,2641.8,1,6.25,0.002
Pawnee County,Kansas,6414,458,7140.6,1,15.59,0.002
Fremont County,Colorado,47839,1038,2169.8,2,4.18,0.002
Atoka County,Oklahoma,13758,499,3627.0,1,7.27,0.002
Boone County,Missouri,180461,7291,4040.2,15,8.31,0.002
Hart County,Kentucky,19035,553,2905.2,1,5.25,0.002
Kossuth County,Iowa,14813,569,3841.2,1,6.75,0.002
Wabasha County,Minnesota,21627,515,2381.3,1,4.62,0.002
Saline County,Nebraska,14224,1060,7452.2,2,14.06,0.002
Columbia County,Wisconsin,57532,2292,3983.9,7,12.17,0.003
Ford County,Kansas,33619,3781,11246.6,10,29.75,0.003
LaRue County,Kentucky,14398,356,2472.6,1,6.95,0.003
Park County,Wyoming,29194,900,3082.8,3,10.28,0.003
Bonner County,Idaho,45740,575,1257.1,2,4.37,0.003
Dane County,Wisconsin,546688,18413,3368.1,53,9.69,0.003
Harrison County,Kentucky,18886,301,1593.8,1,5.3,0.003
Menominee County,Wisconsin,4556,388,8516.2,1,21.95,0.003
Anderson County,Kentucky,22746,298,1310.1,1,4.4,0.003
Iowa County,Wisconsin,23678,717,3028.1,2,8.45,0.003
Miami County,Kansas,34237,648,1892.7,2,5.84,0.003
Monongalia County,West Virginia,105611,2447,2317.0,7,6.63,0.003
Jefferson County,Iowa,18295,327,1787.4,1,5.47,0.003
Jones County,Iowa,20681,1208,5841.1,4,19.34,0.003
Polk County,Wisconsin,43782,870,1987.1,3,6.85,0.003
Rusk County,Wisconsin,14178,353,2489.8,1,7.05,0.003
Fulton County,Illinois,34340,788,2294.7,2,5.82,0.003
Tazewell County,Virginia,40595,584,1438.6,2,4.93,0.003
Effingham County,Illinois,34008,1593,4684.2,5,14.7,0.003
Vernon County,Wisconsin,30821,627,2034.3,2,6.49,0.003
