fips,biden,trump,other
17195,0.448,0.531,0.022
17197,0.533,0.45,0.018
17199,0.302,0.678,0.019
17201,0.502,0.477,0.022
17203,0.284,0.694,0.021
18001,0.228,0.752,0.02
18003,0.433,0.545,0.022
18005,0.357,0.619,0.024
18007,0.246,0.732,0.022
18009,0.257,0.718,0.025
18011,0.396,0.581,0.024
18013,0.337,0.644,0.019
18015,0.234,0.746,0.019
18017,0.283,0.695,0.022
18019,0.399,0.582,0.019
18021,0.208,0.775,0.017
18023,0.26,0.721,0.019
18025,0.275,0.703,0.021
18027,0.181,0.801,0.017
18029,0.215,0.77,0.015
18031,0.199,0.779,0.022
18033,0.253,0.725,0.022
18035,0.424,0.557,0.018
18037,0.289,0.691,0.02
18039,0.351,0.632,0.017
18041,0.221,0.765,0.014
18043,0.419,0.56,0.02
18045,0.204,0.771,0.025
18047,0.178,0.808,0.014
18049,0.249,0.732,0.019
18051,0.249,0.731,0.02
18053,0.295,0.683,0.021
18055,0.229,0.751,0.02
18057,0.456,0.524,0.02
18059,0.301,0.676,0.024
18061,0.264,0.72,0.016
18063,0.369,0.608,0.023
18065,0.264,0.716,0.021
18067,0.328,0.651,0.021
18069,0.239,0.738,0.023
18071,0.224,0.757,0.02
18073,0.246,0.736,0.019
18075,0.228,0.752,0.02
18077,0.322,0.658,0.02
18079,0.206,0.775,0.019
18081,0.319,0.66,0.021
18083,0.254,0.728,0.018
18085,0.234,0.741,0.025
18087,0.221,0.763,0.016
18089,0.568,0.417,0.015
18091,0.454,0.526,0.02
18093,0.236,0.742,0.022
18095,0.377,0.603,0.02
18097,0.637,0.345,0.019
18099,0.287,0.695,0.018
18101,0.197,0.783,0.02
18103,0.224,0.755,0.021
18105,0.632,0.35,0.018
18107,0.245,0.736,0.019
18109,0.215,0.761,0.024
18111,0.229,0.75,0.021
18113,0.243,0.74,0.018
18115,0.237,0.756,0.007
18117,0.252,0.728,0.02
18119,0.244,0.736,0.02
18121,0.214,0.77,0.016
18123,0.367,0.613,0.02
18125,0.228,0.754,0.018
18127,0.46,0.521,0.019
18129,0.288,0.696,0.016
18131,0.252,0.731,0.017
18133,0.238,0.74,0.022
18135,0.227,0.751,0.022
18137,0.194,0.79,0.016
18139,0.221,0.761,0.018
18141,0.521,0.462,0.017
18143,0.266,0.721,0.013
18145,0.251,0.729,0.02
18147,0.298,0.683,0.018
18149,0.258,0.726,0.017
18151,0.279,0.701,0.019
18153,0.239,0.744,0.017
18155,0.232,0.755,0.013
18157,0.49,0.484,0.026
18159,0.226,0.753,0.021
18161,0.211,0.772,0.017
18163,0.444,0.539,0.017
18165,0.287,0.693,0.02
18167,0.416,0.563,0.021
18169,0.24,0.739,0.022
18171,0.218,0.761,0.021
18173,0.353,0.631,0.017
18175,0.229,0.751,0.019
18177,0.344,0.635,0.021
18179,0.208,0.773,0.019
18181,0.272,0.713,0.015
18183,0.241,0.733,0.026
19001,0.287,0.699,0.014
19003,0.274,0.71,0.016
19005,0.348,0.639,0.014
19007,0.291,0.693,0.016
19009,0.314,0.672,0.015
19011,0.353,0.628,0.019
19013,0.537,0.446,0.017
19015,0.412,0.568,0.02
19017,0.41,0.571,0.018
19019,0.387,0.596,0.016
19021,0.363,0.62,0.016
19023,0.3,0.686,0.015
19025,0.28,0.703,0.017
19027,0.306,0.684,0.01
19029,0.303,0.684,0.013
19031,0.406,0.577,0.017
19033,0.461,0.524,0.015
19035,0.298,0.691,0.011
19037,0.338,0.651,0.011
19039,0.314,0.675,0.011
19041,0.298,0.686,0.017
19043,0.349,0.637,0.014
19045,0.439,0.542,0.019
19047,0.311,0.679,0.01
19049,0.481,0.501,0.018
19051,0.247,0.74,0.013
19053,0.295,0.688,0.017
19055,0.316,0.668,0.016
19057,0.447,0.532,0.021
19059,0.326,0.662,0.012
19061,0.477,0.506,0.017
19063,0.313,0.673,0.013
19065,0.378,0.605,0.018
19067,0.396,0.59,0.014
19069,0.318,0.668,0.014
19071,0.28,0.704,0.016
19073,0.35,0.638,0.012
19075,0.304,0.679,0.017
19077,0.312,0.671,0.017
19079,0.359,0.626,0.015
19081,0.273,0.713,0.014
19083,0.332,0.652,0.017
19085,0.3,0.684,0.016
19087,0.329,0.653,0.018
19089,0.358,0.631,0.011
19091,0.271,0.718,0.011
19093,0.239,0.749,0.012
19095,0.365,0.619,0.016
19097,0.362,0.624,0.013
19099,0.384,0.6,0.016
19101,0.484,0.498,0.018
19103,0.708,0.274,0.017
19105,0.384,0.599,0.017
19107,0.267,0.718,0.015
19109,0.297,0.691,0.012
19111,0.392,0.585,0.023
19113,0.558,0.42,0.023
19115,0.324,0.657,0.019
19117,0.278,0.711,0.011
19119,0.156,0.833,0.011
19121,0.32,0.664,0.017
19123,0.254,0.729,0.017
19125,0.322,0.66,0.018
19127,0.452,0.529,0.019
19129,0.304,0.678,0.017
19131,0.353,0.632,0.015
19133,0.298,0.689,0.012
19135,0.264,0.728,0.008
19137,0.298,0.688,0.015
19139,0.454,0.525,0.021
19141,0.208,0.777,0.015
19143,0.181,0.81,0.01
19145,0.277,0.707,0.015
19147,0.307,0.681,0.012
19149,0.247,0.741,0.013
19151,0.244,0.74,0.015
19153,0.567,0.414,0.019
19155,0.407,0.575,0.018
19157,0.425,0.559,0.016
19159,0.262,0.727,0.011
19161,0.251,0.735,0.014
19163,0.508,0.473,0.019
19165,0.289,0.693,0.018
19167,0.159,0.827,0.014
19169,0.574,0.4,0.026
19171,0.396,0.588,0.016
19173,0.23,0.76,0.01
19175,0.334,0.65,0.016
19177,0.232,0.756,0.012
19179,0.373,0.61,0.018
19181,0.406,0.575,0.019
19183,0.388,0.594,0.018
19185,0.234,0.753,0.012
19187,0.372,0.615,0.014
19189,0.359,0.623,0.018
19191,0.467,0.518,0.015
19193,0.414,0.57,0.016
19195,0.362,0.62,0.018
19197,0.32,0.663,0.018
20001,0.268,0.714,0.018
20003,0.206,0.773,0.022
20005,0.316,0.66,0.024
20007,0.123,0.861,0.016
20009,0.21,0.774,0.016
20011,0.231,0.753,0.017
20013,0.248,0.729,0.023
20015,0.282,0.697,0.022
20017,0.231,0.754,0.016
20019,0.13,0.855,0.015
20021,0.242,0.74,0.018
20023,0.157,0.827,0.016
20025,0.137,0.845,0.019
20027,0.214,0.759,0.026
20029,0.214,0.762,0.024
20031,0.209,0.767,0.024
20033,0.14,0.829,0.031
20035,0.3,0.679,0.021
20037,0.37,0.605,0.025
20039,0.143,0.845,0.012
20041,0.221,0.762,0.017
20043,0.184,0.803,0.013
20045,0.685,0.291,0.024
20047,0.189,0.798,0.013
20049,0.142,0.839,0.019
20051,0.269,0.709,0.022
20053,0.23,0.75,0.019
20055,0.362,0.617,0.02
20057,0.331,0.651,0.018
20059,0.296,0.68,0.024
20061,0.411,0.558,0.031
20063,0.114,0.876,0.01
20065,0.171,0.808,0.021
20067,0.203,0.779,0.018
20069,0.15,0.835,0.014
20071,0.123,0.855,0.022
20073,0.186,0.793,0.021
20075,0.16,0.817,0.023
20077,0.173,0.81,0.017
20079,0.391,0.588,0.021
20081,0.189,0.798,0.014
20083,0.146,0.838,0.016
20085,0.286,0.686,0.028
20087,0.325,0.649,0.026
