"fips","dem_amount","rep_amount"
39087,40331.0715967221,34869.7283150406
39089,119957.519545591,103713.736092271
39091,30977.2581599565,26782.5409347751
39093,210145.752922443,181689.328372836
39095,290529.133348683,251187.770282209
39097,30339.0202914918,26230.7286423504
39099,155105.367135079,134102.115269469
39101,44149.6467289816,38171.2195013864
39103,121913.606700375,105404.944010818
39105,15536.785178449,13432.9056137873
39107,27925.111073781,24143.6936277492
39109,72564.4578463668,62738.3015192851
39111,9260.89251436429,8006.84914002934
39113,360619.317290523,311786.846251265
39115,9840.12220582958,8507.64371785159
39117,23961.3893912012,20716.7105916915
39119,58475.746896581,50557.3823500534
39121,9783.1487935543,8458.38523478711
39123,27486.2801482798,23764.2860260502
39125,12664.3756429039,10949.4570926196
39127,24508.0628470806,21189.3574649055
39129,39648.7471592349,34279.7993392921
39131,18836.4953060587,16285.7927579387
39133,110193.361889462,95271.7703518387
39135,27728.4171504497,23973.6345790742
39137,22966.389441108,19856.4463696011
39139,82173.2951285551,71045.9792523154
39141,51999.0907797167,44957.7483645444
39143,39690.1207086253,34315.5703805652
39145,51082.090144048,44164.9213514113
39147,37424.7493157751,32356.9592682392
39149,32956.4059816142,28493.6868107533
39151,251365.338448696,217327.254459478
39153,366944.722562895,317255.710692448
39155,134276.83716411,116094.034835811
39157,62390.634225782,53942.1438291987
39159,40008.9005154036,34591.1833215212
39161,19177.6575248023,16580.7572458129
39163,8874.9654716901,7673.18155831872
39165,159119.957935762,137573.079093977
39167,40634.9297955236,35132.4402247179
39169,78480.8754091908,67853.5604213267
39171,24886.5290857664,21516.5745309767
39173,88727.2723049358,76712.464036269
39175,14766.9658578248,12767.3296819041
9001,2077835.81785216,534709.499115551
9003,1964152.34031616,505454.235148727
9005,397211.550695548,102218.273210285
9007,357790.617628399,92073.7049080638
9009,1882735.56940701,484502.473504038
9011,584157.566911013,150326.891722574
9013,331986.503481802,85433.2837391236
9015,257230.564086038,66195.6180069289
26001,8127.27451830798,6265.15402764088
26003,7114.19666629016,5484.19249243182
26005,92232.2635652402,71100.0146792756
